timestamp,speed,current,duty_cycle
0:00:00.000473,250,142,134
0:00:00.005660,250,142,134
0:00:00.007883,250,142,134
0:00:00.026281,250,142,134
0:00:00.027366,250,142,134
0:00:00.028470,250,142,134
0:00:00.045903,250,142,134
0:00:00.046715,250,142,134
0:00:00.059500,250,142,134
0:00:00.072375,250,142,134
0:00:00.081905,250,142,134
0:00:00.089336,250,142,134
0:00:00.100333,250,142,134
0:00:00.115679,250,142,134
0:00:00.118433,250,142,134
0:00:00.138485,250,142,134
0:00:00.141756,250,142,134
0:00:00.160957,250,142,134
0:00:00.171613,250,142,134
0:00:00.171984,250,142,134
0:00:00.177870,250,142,134
0:00:00.188952,250,142,134
0:00:00.200132,250,142,134
0:00:00.207153,250,142,134
0:00:00.217684,250,142,134
0:00:00.228218,250,142,134
0:00:00.238624,250,142,134
0:00:00.248002,250,142,134
0:00:00.261828,250,142,134
0:00:00.272338,250,142,134
0:00:00.282666,250,142,134
0:00:00.293129,250,142,134
0:00:00.300426,250,142,134
0:00:00.307150,250,142,134
0:00:00.320431,250,142,134
0:00:00.331857,250,142,134
0:00:00.338079,250,142,134
0:00:00.355649,250,142,134
0:00:00.360706,250,142,134
0:00:00.367972,250,142,134
0:00:00.377687,250,142,134
0:00:00.387924,250,142,134
0:00:00.401908,250,142,134
0:00:00.423739,250,142,134
0:00:00.423958,250,142,134
0:00:00.433692,250,142,134
0:00:00.444177,250,142,134
0:00:00.454692,250,142,134
0:00:00.464612,250,142,134
0:00:00.471763,250,142,134
0:00:00.482997,250,142,134
0:00:00.493779,250,142,134
0:00:00.500166,250,142,134
0:00:00.509203,250,142,134
0:00:00.523287,250,142,134
0:00:00.538314,250,142,134
0:00:00.543380,250,142,134
0:00:00.553847,250,142,134
0:00:00.562099,250,142,134
0:00:00.574687,250,142,134
0:00:00.589843,250,142,134
0:00:00.592941,250,142,134
0:00:00.606364,250,142,134
0:00:00.611234,250,142,134
0:00:00.626795,250,142,134
0:00:00.633463,250,142,134
0:00:00.640111,250,142,134
0:00:00.652844,250,142,134
0:00:00.660426,250,142,134
0:00:00.673514,250,142,134
0:00:00.680865,250,142,134
0:00:00.691696,250,142,134
0:00:00.700915,250,142,134
0:00:00.719070,250,142,134
0:00:00.723686,250,142,134
0:00:00.731282,250,142,134
0:00:00.751806,250,142,134
0:00:00.758969,250,142,134
0:00:00.760564,250,142,134
0:00:00.771350,250,142,134
0:00:00.786703,250,142,134
0:00:00.793632,250,142,134
0:00:00.800504,250,142,134
0:00:00.810338,250,142,134
0:00:00.830048,250,142,134
0:00:00.831203,250,142,134
0:00:00.840005,250,142,134
0:00:00.851249,250,142,134
0:00:00.866713,250,142,134
0:00:00.877009,250,142,134
0:00:00.884653,250,142,134
0:00:00.892035,250,142,134
0:00:00.907809,250,142,134
0:00:00.919821,250,142,134
0:00:00.921059,250,142,134
0:00:00.934789,250,142,134
