timestamp,speed,current,duty_cycle
0:00:00.000792,12,222,2
0:00:00.001148,12,222,2
0:00:00.010724,12,222,2
0:00:00.010868,12,222,2
0:00:00.010953,12,222,2
0:00:00.011020,12,222,2
0:00:00.011071,12,222,2
0:00:00.011117,12,222,2
0:00:00.016647,12,222,2
0:00:00.030214,12,222,2
0:00:00.058992,12,222,2
0:00:00.059219,12,222,2
0:00:00.059391,12,222,2
0:00:00.063718,12,222,2
0:00:00.074166,12,222,2
0:00:00.091132,12,222,2
0:00:00.103569,12,222,2
0:00:00.104312,12,222,2
0:00:00.117186,12,222,2
0:00:00.133724,12,222,2
0:00:00.136817,12,222,2
0:00:00.153628,12,222,2
0:00:00.157916,12,222,2
0:00:00.164281,12,222,2
0:00:00.174444,12,222,2
0:00:00.184654,12,222,2
0:00:00.195682,12,222,2
0:00:00.205964,12,222,2
0:00:00.215550,12,222,2
0:00:00.225724,12,222,2
0:00:00.235339,12,222,2
0:00:00.245200,12,222,2
0:00:00.255427,12,222,2
0:00:00.270561,12,222,2
0:00:00.275064,12,222,2
0:00:00.285569,12,222,2
0:00:00.295427,12,222,2
0:00:00.305815,12,222,2
0:00:00.314839,12,222,2
0:00:00.325186,12,222,2
0:00:00.335369,12,222,2
0:00:00.346326,12,222,2
0:00:00.356157,12,222,2
0:00:00.366073,12,222,2
0:00:00.378359,12,222,2
0:00:00.388688,12,222,2
0:00:00.412640,12,222,2
0:00:00.415440,12,222,2
0:00:00.419739,12,222,2
0:00:00.431482,12,222,2
0:00:00.436751,12,222,2
0:00:00.446456,12,222,2
0:00:00.456331,12,222,2
0:00:00.466825,12,222,2
0:00:00.477045,12,222,2
0:00:00.486068,12,222,2
0:00:00.498605,12,222,2
0:00:00.506499,12,222,2
0:00:00.518482,12,222,2
0:00:00.529057,12,222,2
0:00:00.536505,12,222,2
0:00:00.546732,12,222,2
0:00:00.556770,12,222,2
0:00:00.567969,12,222,2
0:00:00.576947,12,222,2
0:00:00.588094,12,222,2
0:00:00.597351,12,222,2
0:00:00.606915,12,222,2
0:00:00.616319,12,222,2
0:00:00.626331,12,222,2
0:00:00.636555,12,222,2
0:00:00.651232,12,222,2
0:00:00.659012,12,222,2
0:00:00.666827,12,222,2
0:00:00.679384,12,222,2
0:00:00.688256,12,222,2
0:00:00.699811,12,222,2
0:00:00.708044,12,222,2
0:00:00.719784,12,222,2
0:00:00.729852,12,222,2
0:00:00.742898,12,222,2
0:00:00.761871,12,222,2
0:00:00.762376,12,222,2
0:00:00.774677,12,222,2
0:00:00.784377,12,222,2
0:00:00.788924,12,222,2
0:00:00.805170,12,222,2
0:00:00.811850,12,222,2
0:00:00.817962,12,222,2
0:00:00.832586,12,222,2
0:00:00.844665,12,222,2
0:00:00.850038,12,222,2
0:00:00.859657,12,222,2
0:00:00.874263,12,222,2
0:00:00.882261,12,222,2
0:00:00.888658,12,222,2
0:00:00.902064,12,222,2
0:00:00.910117,12,222,2
0:00:00.921394,12,222,2
0:00:00.931671,12,222,2
0:00:00.942597,12,222,2
0:00:00.958958,12,222,2
0:00:00.959640,12,222,2
0:00:00.971617,12,222,2
0:00:00.986657,12,222,2
