timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z,IMU_vel_x,IMU_vel_y,IMU_vel_z,Razor_acc_x,Razor_acc_y,Razor_acc_z,Razor_vel_x,Razor_vel_y,Razor_vel_z,LC_data,speed,current,duty_cycle
0:00:00,5,-117,-979,1,-12,2,0.032,-0.08,1.009,0.092,-0.168,-0.832,633,250,142,134
0:00:00.000180,9,-108,-983,0,-9,2,0.032,-0.079,1.01,0.191,-0.13,-0.854,633,250,142,134
0:00:00.000230,5,-115,-977,-1,-9,1,0.034,-0.08,1.008,0.053,-0.198,-0.854,633,250,142,134
0:00:00.000276,0,-114,-972,0,-12,2,0.033,-0.078,1.012,0.053,-0.175,-0.885,633,250,142,134
0:00:00.000320,11,-117,-981,0,-9,2,0.034,-0.08,1.011,0.053,-0.153,-0.763,633,250,142,134
0:00:00.000363,8,-117,-968,0,-12,0,0.032,-0.08,1.007,0.069,-0.175,-0.862,633,250,142,134
0:00:00.000406,14,-108,-977,0,-11,0,0.032,-0.079,1.009,0.145,-0.183,-0.893,633,250,142,134
0:00:00.000449,0,-118,-972,-1,-10,0,0.032,-0.08,1.011,0.13,-0.153,-0.893,-8807,250,142,134
0:00:00.000493,9,-117,-989,0,-12,0,0.032,-0.08,1.013,0.16,-0.183,-0.87,-8807,250,142,134
0:00:00.004069,11,-119,-974,-1,-12,0,0.035,-0.081,1.012,0.237,-0.122,-0.908,-8807,250,142,134
0:00:00.004963,9,-127,-985,2,-11,0,0.032,-0.081,1.01,0.069,-0.061,-0.916,-8807,250,142,134
0:00:00.009387,13,-115,-979,0,-11,0,0.033,-0.079,1.015,0.099,-0.153,-0.816,-8807,250,142,134
0:00:00.019245,11,-118,-978,-1,-9,1,0.032,-0.08,1.009,0.084,-0.206,-0.938,-8807,250,142,134
0:00:00.023915,3,-122,-975,-1,-13,0,0.033,-0.081,1.01,0.107,-0.16,-0.9,-8807,250,142,134
0:00:00.047555,10,-115,-974,-1,-12,0,0.032,-0.08,1.012,0.076,-0.13,-0.793,-8391,250,142,134
0:00:00.050687,10,-111,-986,0,-12,2,0.032,-0.08,1.011,0.084,-0.084,-0.923,-8391,250,142,134
0:00:00.087110,9,-107,-978,0,-12,2,0.031,-0.08,1.012,0.008,-0.16,-1.022,-8391,250,142,134
