timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z,IMU_vel_x,IMU_vel_y,IMU_vel_z,Razor_acc_x,Razor_acc_y,Razor_acc_z,Razor_vel_x,Razor_vel_y,Razor_vel_z,LC_data,speed,current,duty_cycle
0:00:00,16,-116,-976,0,-13,2,-0.022,0.001,1.015,0.069,-0.107,-0.862,-1177,12,222,2
0:00:00.000149,6,-122,-972,1,-11,2,-0.02,0.003,1.011,0.153,-0.206,-0.839,-1177,12,222,2
0:00:00.000196,3,-118,-985,1,-10,1,-0.023,0.001,1.013,0.183,-0.153,-0.816,-1177,12,222,2
0:00:00.000239,4,-124,-970,0,-11,2,-0.022,0.002,1.012,0.153,-0.175,-0.763,-1177,12,222,2
0:00:00.000281,4,-114,-976,0,-12,3,-0.022,0.002,1.013,0.175,-0.153,-0.893,-1177,12,222,2
0:00:00.000417,10,-115,-972,2,-10,0,-0.024,0.003,1.017,0.099,-0.107,-0.938,-1177,12,222,2
0:00:00.000464,11,-121,-974,3,-11,0,-0.023,0.001,1.016,0.229,-0.122,-0.877,-1177,12,222,2
0:00:00.000508,4,-122,-973,-1,-13,1,-0.023,0.003,1.015,0.206,-0.046,-0.931,-7537,12,222,2
0:00:00.000551,15,-126,-981,1,-14,2,-0.022,-0.0,1.015,0.206,-0.046,-0.931,-7537,12,222,2
0:00:00.011173,3,-124,-971,-1,-10,1,-0.022,-0.0,1.015,0.183,-0.183,-0.893,-7537,12,222,2
0:00:00.011264,5,-114,-981,-2,-11,1,-0.023,0.001,1.013,0.191,-0.137,-0.87,-7537,12,222,2
0:00:00.011312,5,-122,-968,0,-11,1,-0.023,0.005,1.017,0.145,-0.137,-0.793,-7537,12,222,2
0:00:00.011357,4,-125,-987,0,-13,1,-0.021,0.003,1.013,0.191,-0.137,-0.854,-7537,12,222,2
0:00:00.032423,0,-109,-974,-1,-11,2,-0.024,0.001,1.012,0.084,-0.168,-0.908,-7537,12,222,2
0:00:00.032782,-2,-121,-982,0,-12,1,-0.023,0.0,1.016,0.114,-0.206,-0.916,9705,12,222,2
0:00:00.032839,9,-125,-975,0,-12,0,-0.023,-0.001,1.015,0.13,-0.214,-0.938,9705,12,222,2
0:00:00.046324,16,-126,-981,2,-11,0,-0.023,0.001,1.013,0.13,-0.214,-0.938,9705,12,222,2
0:00:00.046971,4,-120,-982,1,-12,0,-0.024,-0.001,1.015,0.099,-0.221,-0.854,9705,12,222,2
0:00:00.055111,1,-121,-972,-1,-11,1,-0.024,-0.001,1.015,0.069,-0.244,-0.755,9705,12,222,2
0:00:00.074116,0,-116,-978,1,-11,0,-0.023,0.0,1.012,0.114,-0.183,-0.87,9705,12,222,2
0:00:00.074340,4,-115,-981,1,-11,0,-0.023,-0.0,1.012,0.107,-0.183,-0.931,9705,12,222,2
0:00:00.074909,8,-116,-980,-1,-11,2,-0.023,0.0,1.014,0.137,-0.084,-0.847,8700,12,222,2
0:00:00.081969,3,-117,-978,0,-13,2,-0.024,0.002,1.019,0.16,-0.099,-0.801,8700,12,222,2
0:00:00.101972,6,-114,-976,2,-13,0,-0.023,0.0,1.014,0.137,-0.13,-0.778,8700,12,222,2
0:00:00.104270,7,-123,-974,1,-11,1,-0.022,-0.002,1.014,0.137,-0.13,-0.778,8700,12,222,2
0:00:00.104358,11,-116,-972,0,-12,1,-0.023,0.001,1.018,0.092,-0.076,-0.824,8700,12,222,2
0:00:00.118100,3,-108,-976,0,-11,2,-0.022,0.001,1.014,0.046,-0.137,-0.885,8700,12,222,2
0:00:00.126316,5,-115,-994,0,-11,1,-0.023,0.0,1.017,0.084,-0.191,-0.908,8700,12,222,2
0:00:00.126400,0,-118,-971,2,-12,0,-0.023,0.0,1.017,0.053,-0.023,-0.885,4500,12,222,2
0:00:00.132094,14,-115,-977,1,-13,1,-0.024,0.001,1.015,0.099,-0.053,-0.946,4500,12,222,2
0:00:00.151148,1,-116,-984,-1,-9,0,-0.021,-0.0,1.015,0.191,-0.046,-0.877,4500,12,222,2
0:00:00.152723,4,-114,-975,-2,-10,1,-0.022,0.0,1.015,0.206,-0.084,-0.87,4500,12,222,2
0:00:00.156036,8,-114,-982,-1,-11,1,-0.022,0.0,1.016,0.206,-0.084,-0.87,4500,12,222,2
0:00:00.160568,3,-124,-978,-1,-12,0,-0.023,0.002,1.014,0.137,-0.122,-0.87,4500,12,222,2
0:00:00.170539,0,-118,-986,0,-11,1,-0.023,0.001,1.015,0.145,-0.153,-0.916,4500,12,222,2
0:00:00.184046,4,-120,-968,1,-11,0,-0.022,0.001,1.018,0.076,-0.206,-0.893,8168,12,222,2
0:00:00.184126,10,-118,-990,0,-12,0,-0.022,0.002,1.016,0.168,-0.198,-0.832,8168,12,222,2
0:00:00.214766,6,-116,-976,0,-11,1,-0.022,0.002,1.016,0.076,-0.114,-0.801,8168,12,222,2
0:00:00.214848,6,-121,-973,-1,-12,0,-0.022,0.002,1.013,0.099,-0.092,-0.87,8168,12,222,2
0:00:00.214893,3,-119,-977,0,-10,2,-0.023,0.002,1.014,0.145,-0.114,-0.977,8168,12,222,2
0:00:00.214936,5,-115,-982,0,-10,2,-0.023,0.0,1.014,0.145,-0.114,-0.977,8168,12,222,2
0:00:00.221145,8,-116,-981,0,-12,1,-0.024,-0.001,1.012,0.114,-0.092,-0.946,8168,12,222,2
0:00:00.236259,10,-115,-978,0,-11,1,-0.023,0.001,1.014,0.191,-0.114,-0.862,8168,12,222,2
0:00:00.242144,10,-120,-986,1,-12,1,-0.024,0.0,1.016,0.237,-0.145,-0.832,6544,12,222,2
0:00:00.248815,3,-114,-986,0,-11,1,-0.022,-0.001,1.01,0.175,-0.038,-0.793,6544,12,222,2
0:00:00.252109,9,-119,-974,0,-10,3,-0.022,0.001,1.011,0.107,-0.145,-0.893,6544,12,222,2
0:00:00.253355,6,-109,-970,0,-9,2,-0.024,0.0,1.012,0.107,-0.107,-0.885,6544,12,222,2
0:00:00.261054,2,-116,-967,-1,-11,2,-0.024,0.0,1.012,0.107,-0.168,-0.87,6544,12,222,2
0:00:00.265048,6,-120,-980,-1,-11,0,-0.022,-0.001,1.015,0.153,-0.137,-0.847,6544,12,222,2
0:00:00.279071,3,-119,-980,-1,-11,2,-0.021,0.001,1.017,0.153,-0.137,-0.847,6544,12,222,2
0:00:00.294462,12,-122,-974,1,-12,3,-0.019,0.0,1.015,0.221,-0.076,-0.824,3908,12,222,2
0:00:00.296314,5,-114,-963,1,-11,1,-0.021,0.002,1.015,0.084,-0.145,-0.862,3908,12,222,2
0:00:00.296373,6,-121,-992,1,-12,0,-0.022,0.0,1.014,0.076,-0.114,-0.839,3908,12,222,2
0:00:00.299474,12,-113,-977,-1,-9,0,-0.023,0.001,1.014,0.015,-0.053,-0.87,3908,12,222,2
0:00:00.305201,1,-113,-963,0,-13,2,-0.023,0.001,1.015,0.053,-0.13,-0.839,3908,12,222,2
0:00:00.328451,2,-117,-975,-2,-10,0,-0.023,0.002,1.018,0.107,-0.023,-0.87,3908,12,222,2
0:00:00.329313,0,-118,-977,-1,-11,1,-0.023,0.002,1.018,0.137,-0.061,-0.778,3908,12,222,2
0:00:00.331736,2,-119,-986,1,-12,1,-0.023,0.002,1.016,0.137,-0.061,-0.778,6170,12,222,2
0:00:00.344162,7,-111,-981,1,-11,3,-0.023,0.002,1.015,0.099,-0.13,-0.87,6170,12,222,2
0:00:00.344253,1,-117,-977,0,-11,0,-0.024,-0.0,1.011,0.175,-0.13,-0.839,6170,12,222,2
0:00:00.356910,3,-127,-980,0,-11,0,-0.025,0.001,1.013,0.168,-0.031,-0.702,6170,12,222,2
0:00:00.356975,5,-117,-977,3,-11,0,-0.023,-0.0,1.014,0.13,-0.061,-0.885,6170,12,222,2
0:00:00.368627,1,-119,-978,1,-11,0,-0.023,0.002,1.015,0.099,-0.023,-0.923,6170,12,222,2
0:00:00.376645,3,-120,-983,0,-9,0,-0.023,-0.0,1.014,0.168,-0.099,-0.923,6170,12,222,2
0:00:00.377400,1,-124,-982,1,-12,2,-0.024,0.004,1.012,0.145,-0.237,-0.839,4671,12,222,2
0:00:00.394313,8,-121,-962,0,-11,1,-0.025,0.0,1.013,0.145,-0.237,-0.839,4671,12,222,2
0:00:00.394383,5,-118,-976,2,-10,1,-0.025,0.0,1.013,0.153,-0.191,-0.862,4671,12,222,2
0:00:00.396204,3,-117,-974,1,-11,1,-0.023,0.0,1.016,0.168,-0.076,-0.816,4671,12,222,2
0:00:00.409776,1,-117,-972,0,-11,2,-0.023,-0.003,1.018,0.114,0.023,-0.916,4671,12,222,2
0:00:00.418588,9,-123,-981,3,-11,0,-0.021,0.0,1.015,0.267,0.069,-0.862,4671,12,222,2
0:00:00.421638,17,-125,-982,0,-12,1,-0.022,-0.001,1.01,0.114,-0.099,-0.786,4671,12,222,2
0:00:00.430168,15,-121,-986,2,-11,0,-0.021,0.001,1.014,0.061,-0.366,-0.847,7033,12,222,2
0:00:00.433737,7,-122,-976,1,-11,0,-0.022,0.002,1.014,0.13,-0.221,-0.778,7033,12,222,2
0:00:00.442876,5,-134,-982,1,-12,0,-0.024,0.003,1.013,0.13,-0.221,-0.778,7033,12,222,2
0:00:00.445016,10,-119,-963,0,-11,0,-0.022,-0.001,1.014,0.16,-0.168,-0.809,7033,12,222,2
0:00:00.453235,6,-125,-973,-1,-11,1,-0.022,-0.001,1.014,0.137,-0.122,-0.854,7033,12,222,2
0:00:00.459710,7,-111,-983,-1,-10,0,-0.022,-0.001,1.013,0.16,-0.053,-0.854,7033,12,222,2
0:00:00.467895,8,-122,-983,-1,-10,1,-0.023,0.002,1.012,0.061,-0.038,-0.893,7033,12,222,2
0:00:00.473166,6,-106,-977,1,-10,0,-0.024,0.001,1.016,0.137,-0.237,-0.923,7033,12,222,2
0:00:00.484665,19,-116,-978,1,-13,3,-0.021,0.003,1.012,0.198,-0.214,-0.877,-298,12,222,2
0:00:00.486979,8,-114,-979,1,-13,3,-0.02,0.002,1.014,0.137,-0.313,-0.847,-298,12,222,2
0:00:00.496205,5,-114,-969,1,-11,1,-0.022,0.004,1.015,0.137,-0.313,-0.847,-298,12,222,2
0:00:00.507083,8,-120,-976,1,-11,1,-0.022,0.002,1.015,0.13,-0.221,-0.816,-298,12,222,2
0:00:00.511331,4,-109,-987,2,-11,2,-0.025,-0.0,1.012,0.008,-0.145,-0.87,-298,12,222,2
0:00:00.517306,-3,-125,-981,1,-12,0,-0.024,0.0,1.018,0.008,-0.175,-0.916,-298,12,222,2
0:00:00.522593,9,-113,-981,1,-11,3,-0.024,0.0,1.018,0.137,-0.069,-0.916,-298,12,222,2
0:00:00.533532,6,-114,-973,1,-10,0,-0.025,0.001,1.016,0.038,-0.114,-0.854,2086,12,222,2
0:00:00.536896,1,-121,-976,-1,-12,0,-0.023,0.0,1.016,0.145,-0.038,-0.839,2086,12,222,2
