timestamp,Razor_acc_x,Razor_acc_y,Razor_acc_z
0:00:00.000460,-0.284,-0.023,0.972
0:00:00.000667,-0.284,-0.023,0.973
0:00:00.000729,-0.281,-0.025,0.966
0:00:00.000840,-0.285,-0.026,0.969
0:00:00.016911,-0.285,-0.027,0.972
0:00:00.035669,-0.283,-0.025,0.971
0:00:00.036048,-0.284,-0.024,0.974
0:00:00.036136,-0.284,-0.023,0.973
0:00:00.036217,-0.283,-0.023,0.97
0:00:00.044168,-0.283,-0.024,0.972
0:00:00.063890,-0.284,-0.024,0.972
0:00:00.066274,-0.284,-0.025,0.975
0:00:00.066483,-0.284,-0.024,0.974
0:00:00.080191,-0.282,-0.025,0.971
0:00:00.085886,-0.285,-0.025,0.971
0:00:00.103391,-0.284,-0.026,0.97
0:00:00.109484,-0.282,-0.024,0.971
0:00:00.114677,-0.284,-0.023,0.971
0:00:00.121358,-0.284,-0.024,0.973
0:00:00.135282,-0.284,-0.023,0.973
0:00:00.138458,-0.282,-0.024,0.967
0:00:00.148928,-0.281,-0.021,0.971
0:00:00.153188,-0.284,-0.025,0.972
0:00:00.158332,-0.284,-0.024,0.968
0:00:00.164180,-0.283,-0.024,0.971
0:00:00.171165,-0.281,-0.023,0.968
0:00:00.175759,-0.283,-0.022,0.97
0:00:00.180728,-0.283,-0.022,0.971
0:00:00.186327,-0.282,-0.024,0.972
0:00:00.196655,-0.282,-0.025,0.971
0:00:00.196744,-0.283,-0.025,0.973
0:00:00.200956,-0.282,-0.026,0.972
0:00:00.206680,-0.28,-0.025,0.971
0:00:00.210960,-0.282,-0.025,0.97
0:00:00.217712,-0.282,-0.025,0.972
0:00:00.221110,-0.284,-0.026,0.971
0:00:00.226008,-0.284,-0.026,0.974
0:00:00.231276,-0.285,-0.027,0.972
0:00:00.236640,-0.282,-0.026,0.97
0:00:00.246098,-0.283,-0.025,0.972
0:00:00.246175,-0.284,-0.026,0.97
0:00:00.251066,-0.285,-0.025,0.967
0:00:00.256131,-0.286,-0.024,0.97
0:00:00.262090,-0.283,-0.026,0.974
0:00:00.276947,-0.282,-0.026,0.972
0:00:00.333006,-0.282,-0.025,0.972
0:00:00.356949,-0.282,-0.025,0.972
0:00:00.362503,-0.283,-0.024,0.972
0:00:00.385781,-0.284,-0.022,0.974
0:00:00.392759,-0.284,-0.025,0.973
0:00:00.396696,-0.284,-0.023,0.972
0:00:00.419311,-0.283,-0.025,0.973
0:00:00.424081,-0.283,-0.025,0.971
0:00:00.428835,-0.284,-0.023,0.969
0:00:00.433609,-0.283,-0.022,0.972
0:00:00.438485,-0.284,-0.023,0.97
0:00:00.443474,-0.283,-0.024,0.971
0:00:00.464933,-0.282,-0.023,0.969
0:00:00.470831,-0.287,-0.025,0.97
0:00:00.479214,-0.285,-0.024,0.975
0:00:00.483775,-0.283,-0.026,0.972
0:00:00.488858,-0.282,-0.027,0.968
0:00:00.494115,-0.284,-0.024,0.97
0:00:00.501622,-0.283,-0.023,0.97
0:00:00.507964,-0.282,-0.025,0.971
0:00:00.513262,-0.284,-0.025,0.973
0:00:00.519389,-0.285,-0.027,0.972
0:00:00.523143,-0.283,-0.023,0.974
0:00:00.528648,-0.284,-0.025,0.971
0:00:00.564485,-0.282,-0.023,0.971
0:00:00.579019,-0.283,-0.025,0.97
0:00:00.579144,-0.284,-0.024,0.971
0:00:00.585638,-0.283,-0.024,0.973
0:00:00.591688,-0.284,-0.024,0.972
0:00:00.601092,-0.283,-0.024,0.97
0:00:00.603381,-0.283,-0.023,0.969
0:00:00.612757,-0.284,-0.024,0.974
0:00:00.619172,-0.283,-0.023,0.97
