timestamp,Razor_acc_x,Razor_acc_y,Razor_acc_z
0:00:00.000445,0.032,-0.08,1.009
0:00:00.000660,0.032,-0.079,1.01
0:00:00.000719,0.034,-0.08,1.008
0:00:00.011444,0.033,-0.078,1.012
0:00:00.022960,0.034,-0.08,1.011
0:00:00.043360,0.032,-0.08,1.007
0:00:00.062646,0.032,-0.079,1.009
0:00:00.067564,0.032,-0.08,1.011
0:00:00.077788,0.032,-0.08,1.013
0:00:00.088470,0.035,-0.081,1.012
0:00:00.091833,0.032,-0.081,1.01
0:00:00.113132,0.033,-0.079,1.015
0:00:00.117528,0.032,-0.08,1.009
0:00:00.122559,0.033,-0.081,1.01
0:00:00.141194,0.032,-0.08,1.012
0:00:00.147647,0.032,-0.08,1.011
0:00:00.155234,0.031,-0.08,1.012
0:00:00.160722,0.032,-0.079,1.013
0:00:00.172699,0.032,-0.08,1.014
0:00:00.190541,0.031,-0.08,1.01
0:00:00.196735,0.033,-0.077,1.01
0:00:00.203682,0.033,-0.079,1.01
0:00:00.208557,0.032,-0.079,1.009
0:00:00.232750,0.033,-0.08,1.013
0:00:00.237402,0.033,-0.079,1.011
0:00:00.242689,0.034,-0.079,1.012
0:00:00.253221,0.033,-0.079,1.012
0:00:00.264089,0.033,-0.08,1.013
0:00:00.272698,0.035,-0.079,1.011
0:00:00.276020,0.031,-0.08,1.009
0:00:00.286518,0.034,-0.078,1.012
0:00:00.290430,0.034,-0.08,1.013
0:00:00.301532,0.031,-0.079,1.011
0:00:00.301661,0.033,-0.079,1.011
0:00:00.306581,0.032,-0.079,1.01
0:00:00.315207,0.031,-0.081,1.012
0:00:00.319892,0.033,-0.079,1.011
0:00:00.324811,0.031,-0.08,1.011
0:00:00.330661,0.033,-0.081,1.01
0:00:00.335609,0.032,-0.081,1.011
0:00:00.340635,0.032,-0.078,1.015
0:00:00.345777,0.032,-0.08,1.013
0:00:00.351565,0.033,-0.081,1.011
0:00:00.356512,0.033,-0.078,1.012
0:00:00.361451,0.03,-0.081,1.01
0:00:00.366697,0.032,-0.081,1.011
0:00:00.373096,0.032,-0.078,1.01
0:00:00.378905,0.032,-0.079,1.008
0:00:00.386432,0.032,-0.081,1.012
0:00:00.394046,0.034,-0.081,1.014
0:00:00.399621,0.033,-0.081,1.01
0:00:00.411579,0.032,-0.08,1.012
0:00:00.414700,0.032,-0.081,1.011
0:00:00.419146,0.033,-0.081,1.01
0:00:00.424196,0.031,-0.081,1.01
0:00:00.434198,0.033,-0.078,1.009
0:00:00.438915,0.033,-0.079,1.012
0:00:00.444606,0.032,-0.079,1.014
0:00:00.449617,0.033,-0.081,1.011
0:00:00.454994,0.031,-0.08,1.012
0:00:00.460205,0.032,-0.079,1.013
0:00:00.470338,0.034,-0.077,1.013
0:00:00.470438,0.032,-0.082,1.009
0:00:00.475898,0.031,-0.081,1.009
0:00:00.480257,0.035,-0.08,1.01
0:00:00.485327,0.033,-0.08,1.014
0:00:00.492369,0.031,-0.078,1.01
0:00:00.496332,0.031,-0.081,1.013
0:00:00.500943,0.033,-0.081,1.013
0:00:00.509056,0.034,-0.08,1.012
0:00:00.512123,0.032,-0.079,1.011
0:00:00.516899,0.032,-0.081,1.011
0:00:00.523335,0.033,-0.082,1.01
0:00:00.528136,0.034,-0.081,1.012
0:00:00.533948,0.033,-0.08,1.011
0:00:00.543246,0.033,-0.08,1.015
0:00:00.543404,0.033,-0.082,1.01
0:00:00.563990,0.033,-0.082,1.006
0:00:00.564093,0.031,-0.081,1.01
0:00:00.564777,0.031,-0.082,1.009
0:00:00.564891,0.032,-0.079,1.013
0:00:00.570258,0.033,-0.079,1.014
0:00:00.584417,0.032,-0.081,1.009
0:00:00.584524,0.032,-0.08,1.01
0:00:00.584600,0.032,-0.08,1.011
0:00:00.589978,0.033,-0.081,1.008
0:00:00.600365,0.034,-0.081,1.01
0:00:00.600531,0.032,-0.081,1.015
0:00:00.606520,0.032,-0.078,1.011
0:00:00.617107,0.033,-0.079,1.01
0:00:00.623867,0.031,-0.081,1.011
0:00:00.627181,0.033,-0.082,1.011
0:00:00.632297,0.032,-0.082,1.008
0:00:00.637462,0.034,-0.081,1.009
0:00:00.648145,0.034,-0.081,1.01
0:00:00.648250,0.032,-0.081,1.012
0:00:00.658126,0.033,-0.08,1.013
0:00:00.658235,0.031,-0.081,1.012
0:00:00.673648,0.031,-0.081,1.01
0:00:00.673750,0.033,-0.079,1.011
0:00:00.673890,0.034,-0.08,1.011
0:00:00.685465,0.033,-0.078,1.014
0:00:00.685575,0.032,-0.079,1.011
0:00:00.689727,0.034,-0.082,1.01
0:00:00.694426,0.034,-0.08,1.013
0:00:00.699303,0.033,-0.081,1.01
0:00:00.704859,0.034,-0.08,1.007
0:00:00.710518,0.034,-0.08,1.009
0:00:00.715291,0.032,-0.08,1.015
0:00:00.720573,0.032,-0.079,1.015
0:00:00.725266,0.032,-0.08,1.011
0:00:00.735488,0.033,-0.08,1.008
0:00:00.735603,0.034,-0.08,1.012
0:00:00.745592,0.032,-0.081,1.011
0:00:00.745692,0.034,-0.08,1.014
0:00:00.756866,0.033,-0.082,1.013
0:00:00.756954,0.032,-0.08,1.01
0:00:00.767719,0.033,-0.081,1.008
0:00:00.767817,0.031,-0.081,1.011
0:00:00.772290,0.033,-0.08,1.008
0:00:00.777342,0.035,-0.079,1.01
0:00:00.782021,0.034,-0.081,1.009
0:00:00.790264,0.034,-0.08,1.012
0:00:00.795090,0.033,-0.082,1.01
0:00:00.800059,0.031,-0.08,1.008
0:00:00.805362,0.032,-0.079,1.01
0:00:00.810185,0.033,-0.08,1.014
0:00:00.815154,0.034,-0.08,1.01
0:00:00.826416,0.033,-0.08,1.009
0:00:00.833394,0.033,-0.081,1.012
0:00:00.840514,0.034,-0.08,1.011
0:00:00.845308,0.035,-0.081,1.01
0:00:00.852558,0.034,-0.081,1.01
0:00:00.855250,0.035,-0.081,1.01
0:00:00.861017,0.033,-0.079,1.008
0:00:00.868659,0.034,-0.08,1.013
0:00:00.873881,0.035,-0.08,1.014
0:00:00.880480,0.033,-0.08,1.012
0:00:00.886176,0.034,-0.081,1.011
0:00:00.890452,0.032,-0.08,1.013
0:00:00.895338,0.032,-0.08,1.013
0:00:00.903428,0.034,-0.08,1.01
0:00:00.910626,0.034,-0.08,1.012
0:00:00.917114,0.033,-0.08,1.012
0:00:00.924130,0.033,-0.081,1.011
0:00:00.934220,0.034,-0.08,1.014
0:00:00.938589,0.034,-0.08,1.014
0:00:00.944106,0.033,-0.077,1.01
0:00:00.949194,0.032,-0.08,1.011
0:00:00.954271,0.032,-0.081,1.012
0:00:00.960093,0.035,-0.081,1.01
0:00:00.965068,0.034,-0.08,1.008
0:00:00.973556,0.034,-0.081,1.008
0:00:00.980552,0.031,-0.08,1.012
0:00:00.985380,0.032,-0.081,1.011
0:00:00.993829,0.031,-0.081,1.01
0:00:00.996506,0.031,-0.079,1.011
0:00:01.002904,0.031,-0.081,1.013
0:00:01.009028,0.032,-0.08,1.012
0:00:01.014490,0.032,-0.079,1.012
0:00:01.022096,0.032,-0.081,1.008
0:00:01.028478,0.033,-0.081,1.009
