acc_x,acc_y,acc_z
-0.128,-0.001,1.008
-0.128,-0.001,1.008
-0.13,-0.0,1.005
-0.128,-0.001,1.005
-0.129,-0.0,1.006
-0.128,-0.0,1.008
-0.129,0.0,1.005
-0.128,0.0,1.009
-0.128,-0.0,1.01
-0.128,0.0,1.009
-0.127,0.001,1.006
-0.127,-0.001,1.007
-0.129,-0.001,1.007
-0.129,0.0,1.007
-0.127,-0.0,1.006
-0.126,-0.001,1.005
-0.127,-0.002,1.011
-0.13,-0.001,1.01
-0.126,-0.003,1.008
-0.129,0.001,1.008
-0.127,0.002,1.008
-0.128,0.001,1.008
-0.128,0.0,1.009
-0.128,-0.001,1.009
