timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:00.000566,5,-117,-979
0:00:00.000746,9,-108,-983
0:00:00.000796,5,-115,-977
0:00:00.000842,0,-114,-972
0:00:00.000886,11,-117,-981
0:00:00.000929,8,-117,-968
0:00:00.000972,14,-108,-977
0:00:00.001015,0,-118,-972
0:00:00.001059,9,-117,-989
0:00:00.004635,11,-119,-974
0:00:00.005529,9,-127,-985
0:00:00.009953,13,-115,-979
0:00:00.019811,11,-118,-978
0:00:00.024481,3,-122,-975
0:00:00.048121,10,-115,-974
0:00:00.051253,10,-111,-986
0:00:00.087676,9,-107,-978
0:00:00.092951,14,-114,-984
0:00:00.093043,5,-120,-979
0:00:00.093110,7,-115,-977
0:00:00.093155,4,-114,-990
0:00:00.093199,2,-120,-974
0:00:00.093314,5,-111,-985
0:00:00.093385,7,-112,-978
0:00:00.106855,5,-126,-979
0:00:00.114817,0,-116,-972
0:00:00.114898,12,-115,-981
0:00:00.128648,12,-109,-976
0:00:00.141962,7,-116,-976
0:00:00.142052,4,-116,-978
0:00:00.144716,5,-110,-978
0:00:00.150174,3,-115,-978
0:00:00.151597,5,-116,-978
0:00:00.156676,18,-115,-965
0:00:00.176150,9,-108,-974
0:00:00.176714,9,-121,-990
0:00:00.180997,10,-118,-975
0:00:00.204033,9,-115,-979
0:00:00.204133,17,-108,-978
0:00:00.205416,5,-113,-974
0:00:00.205493,8,-124,-984
0:00:00.229838,12,-119,-967
0:00:00.235344,3,-110,-970
0:00:00.236083,6,-114,-978
0:00:00.236150,3,-116,-973
0:00:00.243638,7,-115,-980
0:00:00.248745,0,-115,-986
0:00:00.261124,1,-114,-978
0:00:00.279210,0,-117,-971
0:00:00.279283,8,-117,-982
0:00:00.279333,7,-114,-978
0:00:00.284360,10,-117,-982
0:00:00.291380,11,-119,-976
0:00:00.302737,6,-121,-978
0:00:00.317872,9,-115,-989
0:00:00.321316,3,-115,-978
0:00:00.321382,1,-123,-983
0:00:00.328143,10,-114,-982
0:00:00.331521,3,-119,-981
0:00:00.358015,10,-121,-982
0:00:00.358120,9,-112,-994
0:00:00.358192,5,-118,-970
0:00:00.375244,3,-114,-976
0:00:00.375341,10,-110,-974
0:00:00.375411,6,-119,-981
0:00:00.380670,3,-116,-982
0:00:00.390242,3,-124,-982
0:00:00.399772,0,-122,-977
0:00:00.403972,13,-116,-983
0:00:00.408429,4,-119,-985
0:00:00.415336,5,-108,-987
0:00:00.424104,16,-117,-982
0:00:00.429364,14,-120,-981
0:00:00.436402,3,-115,-976
0:00:00.444869,3,-113,-988
0:00:00.450819,14,-115,-981
0:00:00.458260,9,-120,-993
0:00:00.467340,7,-106,-970
0:00:00.474317,11,-121,-976
0:00:00.481689,4,-117,-977
0:00:00.488202,5,-122,-984
0:00:00.499448,9,-117,-980
0:00:00.503163,4,-119,-987
0:00:00.507700,3,-119,-973
0:00:00.527483,5,-116,-974
0:00:00.530002,7,-115,-977
0:00:00.532458,0,-116,-983
0:00:00.534673,7,-122,-984
0:00:00.548449,7,-119,-970
0:00:00.549557,0,-117,-968
0:00:00.558895,3,-107,-973
0:00:00.564018,3,-115,-972
0:00:00.569302,7,-122,-974
0:00:00.579957,1,-114,-980
0:00:00.586472,5,-120,-981
0:00:00.599114,5,-114,-982
0:00:00.605858,7,-111,-984
0:00:00.607712,10,-121,-973
0:00:00.616580,4,-119,-977
0:00:00.625887,10,-118,-987
0:00:00.646933,9,-112,-974
0:00:00.652458,10,-122,-978
0:00:00.657333,5,-114,-992
0:00:00.657869,7,-120,-974
0:00:00.658613,4,-120,-978
0:00:00.668007,10,-115,-973
