timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:01.259510,-13,60,1007
0:00:01.266824,-23,61,1002
0:00:01.273440,-5,58,1013
0:00:01.298965,-13,53,1010
0:00:01.299048,-15,51,1015
0:00:01.299096,-14,55,1013
0:00:01.307621,-12,62,1010
0:00:01.308334,-15,58,1007
0:00:01.316883,-15,62,1002
0:00:01.322615,-14,51,1017
0:00:01.329660,-15,52,1010
0:00:01.336782,-9,54,1013
0:00:01.343449,-19,70,1011
0:00:01.353463,-11,51,1016
0:00:01.360218,-11,56,1016
0:00:01.381257,-6,58,1008
0:00:01.381943,-9,57,1009
0:00:01.382002,0,58,1012
0:00:01.396386,-20,59,1004
0:00:01.397369,-18,53,998
0:00:01.401630,-15,55,1015
0:00:01.406322,-11,50,1014
0:00:01.413475,-22,62,1017
0:00:01.421337,-15,66,1012
0:00:01.427520,-18,61,1017
0:00:01.435612,-18,56,1012
0:00:01.442148,-6,62,1010
0:00:01.450645,-14,62,1013
0:00:01.461279,-14,55,998
0:00:01.479720,-19,63,1023
0:00:01.480058,-13,56,1015
0:00:01.480326,-9,58,1010
0:00:01.484767,-15,53,1014
0:00:01.490415,-18,69,1004
0:00:01.516775,-10,55,1008
0:00:01.522395,-11,53,1011
0:00:01.522465,-18,61,1009
0:00:01.522511,-11,46,1011
0:00:01.526910,-12,54,1008
0:00:01.532356,-8,57,1014
0:00:01.539518,-20,62,994
0:00:01.547488,-13,58,1012
0:00:01.554183,-20,59,1011
0:00:01.567599,-21,66,1008
0:00:01.567671,-13,51,998
0:00:01.649306,-20,50,1009
0:00:01.651994,-16,56,1009
0:00:01.652078,-24,59,1012
0:00:01.652144,-19,48,1007
0:00:01.652192,-18,59,1012
0:00:01.652242,-19,55,1017
0:00:01.652288,-22,62,1011
0:00:01.652333,-13,56,1018
0:00:01.652379,-15,58,1011
0:00:01.652424,-12,58,1002
0:00:01.652467,-5,62,1017
0:00:01.652510,-16,59,1010
0:00:01.681667,-7,57,1032
0:00:01.681851,-16,52,1016
0:00:01.681904,-10,69,1011
0:00:01.681949,-10,62,1007
0:00:01.687494,-18,63,1002
0:00:01.693803,-7,52,1015
0:00:01.700551,-10,50,1022
0:00:01.707507,-14,65,1008
0:00:01.715066,-7,53,1021
0:00:01.721504,-19,58,1017
0:00:01.728361,-11,62,1013
0:00:01.737072,-15,54,1002
0:00:01.743407,-13,54,1003
0:00:01.749562,-11,59,1010
0:00:01.757823,-11,63,997
0:00:01.766505,-12,58,1010
0:00:01.771849,-12,64,1009
0:00:01.777537,-12,64,1014
0:00:01.784298,-11,61,1008
0:00:01.792510,-15,60,1003
0:00:01.798346,-9,60,1015
0:00:01.813725,-15,54,1010
0:00:01.814280,-11,50,1000
0:00:01.819493,-11,58,1012
0:00:01.842250,-7,48,1012
0:00:01.842947,-12,52,1001
0:00:01.843007,-5,54,1009
0:00:01.848352,-10,58,1008
0:00:01.855326,-11,59,1015
0:00:01.889488,-12,62,1022
0:00:01.890405,-10,61,1005
0:00:01.890473,-12,58,1017
0:00:01.890520,-12,61,1017
0:00:01.890565,-19,59,1016
0:00:01.896542,-12,55,999
0:00:01.913054,-13,53,1007
0:00:01.913542,-15,62,1020
0:00:01.917601,-14,56,1007
0:00:01.927362,-8,64,1017
0:00:01.932356,-6,54,1007
0:00:01.942517,-11,60,1008
0:00:01.947359,-7,65,1013
0:00:01.952666,-16,59,1013
0:00:01.959668,-11,61,1012
