timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:00.000433,-448,165,884
0:00:00.000622,-450,167,868
0:00:00.000673,-453,166,882
0:00:00.000720,-451,153,874
0:00:00.000764,-451,160,872
0:00:00.000810,-447,159,876
0:00:00.013765,-454,160,890
0:00:00.056399,-441,161,878
0:00:00.056736,-448,163,886
0:00:00.056792,-452,162,882
0:00:00.058443,-438,161,880
0:00:00.058508,-444,166,884
0:00:00.058555,-451,162,876
0:00:00.058602,-447,153,874
0:00:00.058647,-453,156,882
0:00:00.065376,-452,162,884
0:00:00.083425,-447,164,888
0:00:00.111868,-446,165,871
0:00:00.111984,-439,159,882
0:00:00.112033,-443,157,871
0:00:00.125118,-450,163,866
0:00:00.125192,-448,155,880
0:00:00.125238,-445,156,884
0:00:00.133235,-452,164,875
0:00:00.133322,-455,159,873
0:00:00.133371,-448,153,864
0:00:00.148835,-447,164,887
0:00:00.148913,-451,167,876
0:00:00.169702,-459,154,884
0:00:00.175489,-455,161,868
0:00:00.175557,-451,159,875
0:00:00.175604,-446,158,879
0:00:00.199465,-450,159,880
0:00:00.210355,-439,166,883
0:00:00.210424,-441,157,871
0:00:00.210469,-444,162,872
0:00:00.224756,-441,158,880
0:00:00.241759,-455,159,880
0:00:00.241831,-457,165,888
0:00:00.242819,-448,164,859
0:00:00.244707,-447,163,878
0:00:00.245279,-456,159,867
0:00:00.253784,-454,151,872
0:00:00.260458,-447,160,871
0:00:00.265532,-450,163,874
0:00:00.272214,-447,161,869
0:00:00.285664,-442,162,882
0:00:00.287329,-451,156,882
0:00:00.295229,-447,164,879
0:00:00.305232,-448,157,874
0:00:00.308032,-447,163,876
0:00:00.320443,-445,165,881
0:00:00.325573,-453,159,871
0:00:00.328268,-454,161,875
0:00:00.337634,-448,156,873
0:00:00.343291,-454,161,863
0:00:00.367182,-457,159,876
0:00:00.367254,-438,160,869
0:00:00.367310,-453,163,875
0:00:00.415370,-442,162,869
0:00:00.445984,-445,160,877
0:00:00.446485,-445,163,870
0:00:00.446552,-446,153,872
0:00:00.446596,-447,162,879
0:00:00.446648,-449,159,874
0:00:00.447879,-451,170,866
0:00:00.447964,-449,166,877
0:00:00.448015,-452,166,874
0:00:00.449638,-446,161,879
0:00:00.449710,-443,157,888
0:00:00.449754,-448,162,882
0:00:00.482010,-450,153,875
0:00:00.508311,-450,165,878
0:00:00.508376,-452,164,867
0:00:00.508428,-451,166,882
0:00:00.508472,-453,159,881
0:00:00.509969,-445,160,878
0:00:00.512930,-450,157,879
0:00:00.513003,-448,159,876
0:00:00.514880,-448,166,873
0:00:00.522847,-447,163,876
0:00:00.524174,-454,164,874
0:00:00.554155,-447,154,882
0:00:00.561069,-454,160,878
0:00:00.561162,-448,162,879
0:00:00.561216,-443,166,874
0:00:00.561264,-452,163,878
0:00:00.568978,-453,166,866
0:00:00.573450,-440,165,874
0:00:00.580276,-455,163,884
0:00:00.591004,-449,151,875
0:00:00.597727,-444,163,879
0:00:00.602904,-447,162,896
0:00:00.610442,-441,161,880
0:00:00.615387,-447,164,875
0:00:00.655395,-449,157,893
0:00:00.655487,-445,166,871
0:00:00.655556,-456,157,883
0:00:00.655621,-441,165,864
0:00:00.655694,-443,157,887
0:00:00.670052,-446,159,878
0:00:00.670143,-446,160,880
0:00:00.678188,-454,165,872
0:00:00.687490,-446,165,875
0:00:00.690043,-449,157,868
0:00:00.693296,-453,165,882
0:00:00.701419,-449,166,878
0:00:00.708942,-447,153,871
0:00:00.714046,-449,161,880
0:00:00.720353,-446,153,878
0:00:00.736045,-436,163,883
0:00:00.741452,-443,162,876
0:00:00.741533,-452,163,874
0:00:00.755620,-448,157,876
0:00:00.761001,-446,157,878
0:00:00.782335,-446,161,874
0:00:00.817095,-452,156,887
0:00:00.817163,-447,162,883
0:00:00.817404,-444,162,882
0:00:00.819088,-451,166,874
0:00:00.819151,-450,164,882
0:00:00.819196,-455,160,870
0:00:00.819242,-441,154,883
0:00:00.825057,-445,162,875
0:00:00.851664,-442,155,875
0:00:00.851744,-450,157,885
0:00:00.851789,-447,160,878
0:00:00.851849,-452,155,869
0:00:00.859175,-451,168,873
0:00:00.866065,-450,159,869
0:00:00.867692,-445,161,877
0:00:00.878722,-443,159,879
0:00:00.896066,-448,158,869
0:00:00.902338,-441,162,878
0:00:00.902407,-441,162,875
0:00:00.902489,-450,163,870
0:00:00.917126,-446,163,868
0:00:00.917605,-445,155,872
0:00:00.923313,-450,159,867
0:00:00.930193,-446,164,874
0:00:00.938651,-452,165,880
0:00:00.944204,-444,162,886
0:00:00.967840,-439,151,872
0:00:00.967909,-448,162,874
0:00:00.967958,-455,159,884
0:00:00.972214,-458,158,882
0:00:00.998118,-445,172,869
0:00:00.998807,-452,163,876
0:00:00.998868,-451,154,884
0:00:01.006247,-449,161,880
0:00:01.023238,-445,156,883
0:00:01.023488,-452,154,872
0:00:01.023764,-459,164,877
0:00:01.028262,-453,162,877
0:00:01.035309,-445,154,874
0:00:01.042987,-448,154,884
0:00:01.049299,-448,165,878
0:00:01.057992,-450,166,868
0:00:01.063292,-451,163,884
0:00:01.079445,-445,157,876
0:00:01.085633,-445,158,875
0:00:01.085720,-444,166,870
0:00:01.092228,-449,173,879
0:00:01.103932,-455,171,879
0:00:01.105306,-444,161,877
0:00:01.115207,-444,160,870
0:00:01.122586,-446,163,878
0:00:01.128511,-449,165,869
0:00:01.133461,-451,165,879
0:00:01.140257,-445,164,882
0:00:01.157264,-452,149,882
0:00:01.162531,-449,156,886
0:00:01.163035,-447,163,882
0:00:01.175021,-452,161,875
