timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:00.000364,16,-116,-976
0:00:00.000513,6,-122,-972
0:00:00.000560,3,-118,-985
0:00:00.000603,4,-124,-970
0:00:00.000645,4,-114,-976
0:00:00.000781,10,-115,-972
0:00:00.000828,11,-121,-974
0:00:00.000872,4,-122,-973
0:00:00.000915,15,-126,-981
0:00:00.011537,3,-124,-971
0:00:00.011628,5,-114,-981
0:00:00.011676,5,-122,-968
0:00:00.011721,4,-125,-987
0:00:00.032787,0,-109,-974
0:00:00.033146,-2,-121,-982
0:00:00.033203,9,-125,-975
0:00:00.046688,16,-126,-981
0:00:00.047335,4,-120,-982
0:00:00.055475,1,-121,-972
0:00:00.074480,0,-116,-978
0:00:00.074704,4,-115,-981
0:00:00.075273,8,-116,-980
0:00:00.082333,3,-117,-978
0:00:00.102336,6,-114,-976
0:00:00.104634,7,-123,-974
0:00:00.104722,11,-116,-972
0:00:00.118464,3,-108,-976
0:00:00.126680,5,-115,-994
0:00:00.126764,0,-118,-971
0:00:00.132458,14,-115,-977
0:00:00.151512,1,-116,-984
0:00:00.153087,4,-114,-975
0:00:00.156400,8,-114,-982
0:00:00.160932,3,-124,-978
0:00:00.170903,0,-118,-986
0:00:00.184410,4,-120,-968
0:00:00.184490,10,-118,-990
0:00:00.215130,6,-116,-976
0:00:00.215212,6,-121,-973
0:00:00.215257,3,-119,-977
0:00:00.215300,5,-115,-982
0:00:00.221509,8,-116,-981
0:00:00.236623,10,-115,-978
0:00:00.242508,10,-120,-986
0:00:00.249179,3,-114,-986
0:00:00.252473,9,-119,-974
0:00:00.253719,6,-109,-970
0:00:00.261418,2,-116,-967
0:00:00.265412,6,-120,-980
0:00:00.279435,3,-119,-980
0:00:00.294826,12,-122,-974
0:00:00.296678,5,-114,-963
0:00:00.296737,6,-121,-992
0:00:00.299838,12,-113,-977
0:00:00.305565,1,-113,-963
0:00:00.328815,2,-117,-975
0:00:00.329677,0,-118,-977
0:00:00.332100,2,-119,-986
0:00:00.344526,7,-111,-981
0:00:00.344617,1,-117,-977
0:00:00.357274,3,-127,-980
0:00:00.357339,5,-117,-977
0:00:00.368991,1,-119,-978
0:00:00.377009,3,-120,-983
0:00:00.377764,1,-124,-982
0:00:00.394677,8,-121,-962
0:00:00.394747,5,-118,-976
0:00:00.396568,3,-117,-974
0:00:00.410140,1,-117,-972
0:00:00.418952,9,-123,-981
0:00:00.422002,17,-125,-982
0:00:00.430532,15,-121,-986
0:00:00.434101,7,-122,-976
0:00:00.443240,5,-134,-982
0:00:00.445380,10,-119,-963
0:00:00.453599,6,-125,-973
0:00:00.460074,7,-111,-983
0:00:00.468259,8,-122,-983
0:00:00.473530,6,-106,-977
0:00:00.485029,19,-116,-978
0:00:00.487343,8,-114,-979
0:00:00.496569,5,-114,-969
0:00:00.507447,8,-120,-976
0:00:00.511695,4,-109,-987
0:00:00.517670,-3,-125,-981
0:00:00.522957,9,-113,-981
0:00:00.533896,6,-114,-973
0:00:00.537260,1,-121,-976
0:00:00.543593,2,-122,-970
0:00:00.551346,10,-117,-973
0:00:00.562977,0,-121,-974
0:00:00.583439,8,-114,-983
0:00:00.583504,1,-118,-976
0:00:00.583549,3,-124,-973
0:00:00.591511,9,-123,-974
0:00:00.593433,11,-119,-976
0:00:00.601407,15,-118,-967
0:00:00.606471,18,-119,-978
0:00:00.621843,9,-114,-973
0:00:00.622228,9,-119,-988
0:00:00.627282,2,-118,-978
0:00:00.648228,2,-121,-976
0:00:00.653243,5,-124,-981
0:00:00.653952,11,-118,-969
0:00:00.663251,4,-115,-975
0:00:00.663326,9,-124,-978
0:00:00.673371,9,-124,-970
0:00:00.677955,0,-123,-976
0:00:00.687507,14,-124,-986
0:00:00.693647,7,-120,-969
0:00:00.702879,5,-114,-982
0:00:00.710075,11,-114,-983
0:00:00.744365,11,-109,-981
0:00:00.745067,7,-123,-970
0:00:00.745128,6,-115,-972
0:00:00.745175,11,-115,-965
0:00:00.753720,5,-125,-985
0:00:00.766334,7,-116,-975
0:00:00.775437,5,-123,-974
0:00:00.785589,5,-119,-973
0:00:00.785654,9,-115,-970
0:00:00.785726,8,-119,-984
0:00:00.785817,8,-123,-980
0:00:00.788821,3,-121,-976
0:00:00.804966,10,-123,-978
0:00:00.805031,2,-118,-980
0:00:00.810418,4,-117,-981
0:00:00.816502,5,-125,-978
0:00:00.825942,7,-117,-983
0:00:00.834337,7,-119,-982
0:00:00.838447,1,-115,-967
0:00:00.851226,5,-119,-985
0:00:00.852419,-4,-121,-972
0:00:00.858554,10,-122,-977
0:00:00.867060,0,-120,-972
0:00:00.872500,3,-120,-976
0:00:00.881399,0,-125,-997
0:00:00.896848,13,-114,-974
0:00:00.899290,7,-122,-975
0:00:00.901031,4,-124,-974
0:00:00.909532,6,-121,-975
0:00:00.918059,0,-128,-978
0:00:00.921538,11,-122,-981
0:00:00.929202,15,-123,-968
0:00:00.937643,4,-119,-983
0:00:00.943210,-1,-128,-973
0:00:00.951414,0,-120,-988
0:00:00.956732,4,-117,-983
0:00:00.967856,0,-121,-974
0:00:00.982904,4,-126,-989
0:00:00.999870,8,-117,-973
0:00:01.000885,-4,-128,-964
0:00:01.010341,10,-117,-969
0:00:01.012620,7,-124,-976
0:00:01.015879,3,-117,-966
0:00:01.019250,0,-115,-971
0:00:01.026391,5,-119,-978
0:00:01.029430,0,-116,-977
0:00:01.035019,5,-120,-978
0:00:01.049947,6,-119,-981
0:00:01.050180,7,-114,-983
0:00:01.054868,2,-119,-977
0:00:01.061392,9,-122,-979
0:00:01.087441,4,-115,-976
0:00:01.087511,1,-125,-978
0:00:01.087559,4,-119,-968
0:00:01.089396,11,-107,-982
0:00:01.097505,6,-122,-981
0:00:01.103379,6,-114,-970
0:00:01.117224,6,-116,-987
0:00:01.120434,11,-120,-981
0:00:01.125570,10,-118,-979
0:00:01.139970,3,-127,-981
0:00:01.140129,3,-120,-978
0:00:01.147176,5,-119,-976
0:00:01.152490,5,-123,-967
0:00:01.168816,0,-120,-984
0:00:01.168919,9,-116,-982
0:00:01.173573,12,-122,-987
0:00:01.183505,5,-117,-994
