timestamp,Razor_vel_x,Razor_vel_y,Razor_vel_z
0:00:00.000422,0.198,-0.168,-0.763
0:00:00.000564,0.107,-0.137,-0.809
0:00:00.000615,0.038,-0.145,-0.816
0:00:00.000663,0.13,-0.137,-0.839
0:00:00.000711,0.221,-0.168,-0.885
0:00:00.000758,0.114,-0.16,-0.893
0:00:00.000807,0.069,-0.145,-0.786
0:00:00.002555,0.122,-0.244,-0.793
0:00:00.009404,0.099,-0.183,-0.816
0:00:00.023272,0.114,-0.198,-0.717
0:00:00.028693,0.198,-0.206,-0.801
0:00:00.058380,0.099,-0.214,-0.748
0:00:00.058490,0.092,-0.145,-0.877
0:00:00.058580,0.076,-0.145,-0.916
0:00:00.064243,0.114,-0.16,-0.832
0:00:00.071155,0.153,-0.191,-0.763
0:00:00.081955,0.015,-0.252,-0.74
0:00:00.088750,0.038,-0.237,-0.839
0:00:00.095354,0.084,-0.191,-0.839
0:00:00.101407,0.137,-0.206,-0.862
0:00:00.107280,0.137,-0.206,-0.87
0:00:00.114033,0.061,-0.237,-0.839
0:00:00.119010,0.16,-0.122,-0.778
0:00:00.123920,0.206,-0.145,-0.786
0:00:00.129541,0.237,-0.267,-0.816
0:00:00.133870,0.114,-0.275,-0.854
0:00:00.139398,0.168,-0.198,-0.908
0:00:00.144190,0.168,-0.237,-0.839
0:00:00.150118,0.099,-0.252,-0.839
0:00:00.154184,0.061,-0.229,-0.87
0:00:00.159303,0.153,-0.282,-0.877
0:00:00.164228,0.175,-0.229,-0.832
0:00:00.169234,0.092,-0.198,-0.938
0:00:00.174219,-0.031,-0.153,-0.893
0:00:00.179267,0.015,-0.221,-0.816
0:00:00.184224,0.107,-0.252,-0.793
0:00:00.189324,0.13,-0.175,-0.877
0:00:00.194232,0.107,-0.153,-0.847
0:00:00.199357,0.069,-0.13,-0.824
0:00:00.205278,0.114,-0.16,-0.801
0:00:00.220067,0.031,-0.191,-0.839
0:00:00.276116,0.031,-0.252,-0.778
0:00:00.302285,0.191,-0.191,-0.885
0:00:00.305719,0.069,-0.175,-0.786
0:00:00.320350,0.107,-0.198,-0.908
0:00:00.339773,0.137,-0.275,-0.877
0:00:00.339871,0.191,-0.237,-0.908
0:00:00.361870,0.221,-0.183,-0.801
0:00:00.366852,0.153,-0.168,-0.778
0:00:00.371848,0.076,-0.229,-0.793
