timestamp,Razor_vel_x,Razor_vel_y,Razor_vel_z
0:00:00.000354,0.069,-0.107,-0.862
0:00:00.000495,0.153,-0.206,-0.839
0:00:00.000545,0.183,-0.153,-0.816
0:00:00.000594,0.153,-0.175,-0.763
0:00:00.000642,0.175,-0.153,-0.893
0:00:00.002022,0.099,-0.107,-0.938
0:00:00.011041,0.229,-0.122,-0.877
0:00:00.031285,0.206,-0.046,-0.931
0:00:00.032104,0.183,-0.183,-0.893
0:00:00.035548,0.191,-0.137,-0.87
0:00:00.065209,0.145,-0.137,-0.793
0:00:00.069001,0.191,-0.137,-0.854
0:00:00.086408,0.084,-0.168,-0.908
0:00:00.091570,0.114,-0.206,-0.916
0:00:00.102214,0.13,-0.214,-0.938
0:00:00.107264,0.099,-0.221,-0.854
0:00:00.115940,0.069,-0.244,-0.755
0:00:00.124371,0.114,-0.183,-0.87
0:00:00.129960,0.107,-0.183,-0.931
0:00:00.144904,0.137,-0.084,-0.847
0:00:00.149957,0.16,-0.099,-0.801
0:00:00.154997,0.137,-0.13,-0.778
0:00:00.159990,0.092,-0.076,-0.824
0:00:00.174357,0.046,-0.137,-0.885
0:00:00.179317,0.084,-0.191,-0.908
0:00:00.184885,0.053,-0.023,-0.885
0:00:00.194742,0.099,-0.053,-0.946
0:00:00.199744,0.191,-0.046,-0.877
0:00:00.207803,0.206,-0.084,-0.87
0:00:00.213788,0.137,-0.122,-0.87
0:00:00.221965,0.145,-0.153,-0.916
0:00:00.227534,0.076,-0.206,-0.893
0:00:00.233863,0.168,-0.198,-0.832
0:00:00.238828,0.076,-0.114,-0.801
0:00:00.245244,0.099,-0.092,-0.87
0:00:00.250178,0.145,-0.114,-0.977
0:00:00.255242,0.114,-0.092,-0.946
0:00:00.260202,0.191,-0.114,-0.862
0:00:00.266410,0.237,-0.145,-0.832
0:00:00.272124,0.175,-0.038,-0.793
0:00:00.277205,0.107,-0.145,-0.893
0:00:00.283212,0.107,-0.107,-0.885
0:00:00.288142,0.107,-0.168,-0.87
0:00:00.293454,0.153,-0.137,-0.847
0:00:00.298184,0.221,-0.076,-0.824
0:00:00.303141,0.084,-0.145,-0.862
0:00:00.308112,0.076,-0.114,-0.839
0:00:00.313269,0.015,-0.053,-0.87
0:00:00.318287,0.053,-0.13,-0.839
0:00:00.323200,0.107,-0.023,-0.87
0:00:00.328147,0.137,-0.061,-0.778
0:00:00.335603,0.099,-0.13,-0.87
0:00:00.340717,0.175,-0.13,-0.839
0:00:00.345852,0.168,-0.031,-0.702
0:00:00.355744,0.13,-0.061,-0.885
0:00:00.361235,0.099,-0.023,-0.923
0:00:00.367866,0.168,-0.099,-0.923
0:00:00.372776,0.145,-0.237,-0.839
0:00:00.386639,0.153,-0.191,-0.862
0:00:00.391533,0.168,-0.076,-0.816
0:00:00.396544,0.114,0.023,-0.916
0:00:00.401515,0.267,0.069,-0.862
0:00:00.406473,0.114,-0.099,-0.786
0:00:00.415807,0.061,-0.366,-0.847
0:00:00.425898,0.13,-0.221,-0.778
0:00:00.431461,0.16,-0.168,-0.809
0:00:00.436789,0.137,-0.122,-0.854
0:00:00.441655,0.16,-0.053,-0.854
0:00:00.446657,0.061,-0.038,-0.893
0:00:00.451660,0.137,-0.237,-0.923
0:00:00.456618,0.198,-0.214,-0.877
0:00:00.461578,0.137,-0.313,-0.847
0:00:00.466762,0.13,-0.221,-0.816
0:00:00.472310,0.008,-0.145,-0.87
0:00:00.476799,0.008,-0.175,-0.916
0:00:00.499953,0.137,-0.069,-0.916
0:00:00.503144,0.038,-0.114,-0.854
0:00:00.517470,0.145,-0.038,-0.839
0:00:00.523670,0.16,-0.069,-0.809
0:00:00.527861,0.046,-0.038,-0.9
0:00:00.532837,0.076,-0.122,-0.877
0:00:00.538636,0.175,-0.145,-0.87
0:00:00.542878,0.153,-0.175,-0.801
0:00:00.547933,0.099,-0.16,-0.816
0:00:00.553165,0.122,-0.29,-0.87
0:00:00.557888,0.076,-0.183,-0.847
0:00:00.565666,0.107,-0.13,-0.809
0:00:00.586671,0.168,-0.153,-0.847
0:00:00.586745,0.069,-0.206,-0.969
0:00:00.595222,0.084,-0.114,-0.824
0:00:00.597857,0.038,-0.122,-0.877
0:00:00.606457,0.069,-0.069,-0.9
0:00:00.616011,0.175,-0.076,-0.877
0:00:00.623541,0.061,-0.153,-0.923
0:00:00.633869,0.069,-0.168,-0.923
0:00:00.638899,0.069,-0.175,-0.893
0:00:00.647594,0.092,-0.229,-0.893
0:00:00.655075,0.191,-0.206,-0.87
0:00:00.661302,0.221,-0.214,-0.961
0:00:00.664981,0.099,-0.16,-1.038
0:00:00.676232,0.046,-0.122,-0.916
0:00:00.682945,0.137,-0.114,-0.862
0:00:00.689063,0.168,-0.008,-0.885
0:00:00.694533,0.16,-0.092,-0.809
0:00:00.706727,0.137,-0.122,-0.839
0:00:00.711737,0.053,-0.198,-0.862
0:00:00.717034,0.099,-0.137,-0.832
0:00:00.722065,0.137,-0.076,-0.862
0:00:00.726944,0.145,-0.137,-0.938
0:00:00.733487,0.153,-0.114,-0.9
0:00:00.737031,0.183,-0.092,-0.893
0:00:00.744591,0.153,-0.153,-0.87
0:00:00.749773,0.214,-0.198,-0.847
0:00:00.754716,0.099,-0.16,-0.839
0:00:00.759973,0.076,-0.137,-0.9
0:00:00.767330,0.107,-0.099,-0.847
0:00:00.772136,-0.023,-0.008,-0.87
0:00:00.776364,0.061,-0.084,-0.839
0:00:00.781811,0.114,-0.114,-0.87
0:00:00.787631,0.107,-0.061,-0.793
0:00:00.795863,0.13,-0.206,-0.847
0:00:00.801934,0.122,-0.267,-0.954
0:00:00.807276,0.16,-0.099,-0.923
0:00:00.811837,0.214,-0.145,-0.87
0:00:00.818171,0.221,-0.145,-0.877
0:00:00.823108,0.214,-0.099,-0.954
0:00:00.828091,0.183,-0.206,-0.839
0:00:00.833272,0.183,-0.099,-0.908
0:00:00.850046,0.13,-0.168,-0.816
0:00:00.862988,0.107,-0.13,-0.862
0:00:00.872687,0.122,-0.191,-0.862
0:00:00.879406,0.221,-0.153,-0.885
0:00:00.884436,0.107,-0.076,-0.832
0:00:00.893001,0.175,-0.137,-0.87
0:00:00.899817,0.114,-0.191,-0.938
0:00:00.904940,0.092,-0.122,-0.946
0:00:00.910073,0.214,-0.252,-0.893
0:00:00.920909,0.175,-0.359,-0.854
0:00:00.932989,0.252,-0.336,-0.862
0:00:00.934432,0.206,-0.237,-0.824
0:00:00.938358,0.229,-0.16,-0.854
0:00:00.947270,0.191,-0.122,-0.877
0:00:00.952278,0.221,-0.122,-0.862
0:00:00.963112,0.168,-0.076,-0.87
0:00:00.970540,0.099,-0.153,-0.786
0:00:00.976849,0.076,-0.175,-0.854
0:00:00.980267,0.092,-0.175,-0.854
0:00:00.990666,0.069,-0.16,-0.854
0:00:00.996460,0.145,-0.175,-0.916
0:00:01.001651,0.198,-0.229,-0.931
0:00:01.009720,0.175,-0.114,-0.916
0:00:01.018732,0.114,-0.168,-0.931
0:00:01.019666,0.122,-0.053,-0.771
0:00:01.024069,0.198,-0.099,-0.763
0:00:01.031181,0.183,-0.107,-0.839
0:00:01.034836,0.275,-0.175,-0.824
0:00:01.047202,0.153,-0.107,-0.877
0:00:01.047299,0.168,-0.13,-0.839
0:00:01.057180,0.069,-0.183,-0.862
