timestamp,IMU_vel_x,IMU_vel_y,IMU_vel_z
0:00:00.000461,1,-12,2
0:00:00.000635,0,-9,2
0:00:00.000692,-1,-9,1
0:00:00.000740,0,-12,2
0:00:00.000785,0,-9,2
0:00:00.000992,0,-12,0
0:00:00.022916,0,-11,0
0:00:00.026702,-1,-10,0
0:00:00.043111,0,-12,0
0:00:00.043179,-1,-12,0
0:00:00.043227,2,-11,0
0:00:00.043276,0,-11,0
0:00:00.043323,-1,-9,1
0:00:00.043369,-1,-13,0
0:00:00.057137,-1,-12,0
0:00:00.067649,0,-12,2
0:00:00.068266,2,-10,2
0:00:00.068330,2,-11,3
0:00:00.085569,-3,-11,0
0:00:00.093215,1,-11,0
0:00:00.094392,-2,-12,0
0:00:00.099869,-1,-13,1
0:00:00.101286,-3,-11,1
0:00:00.126099,-1,-12,1
0:00:00.126193,-1,-12,1
0:00:00.126258,0,-12,1
0:00:00.130920,-1,-12,2
0:00:00.154350,-1,-12,1
0:00:00.154449,1,-11,2
0:00:00.154810,0,-12,1
0:00:00.178309,0,-12,1
0:00:00.180508,-2,-12,0
0:00:00.180703,2,-12,0
0:00:00.185182,2,-10,1
0:00:00.185817,-1,-11,2
0:00:00.193504,-1,-10,3
0:00:00.198738,1,-10,1
0:00:00.224284,-1,-11,0
0:00:00.228981,-1,-12,1
0:00:00.231682,0,-12,0
0:00:00.233990,2,-11,0
0:00:00.234536,-1,-13,0
0:00:00.245996,3,-11,0
0:00:00.270323,-1,-10,0
0:00:00.270755,0,-12,1
0:00:00.271003,0,-9,0
0:00:00.271166,0,-12,1
0:00:00.280513,-1,-11,1
0:00:00.293415,0,-13,0
0:00:00.307753,-1,-12,0
0:00:00.309234,1,-12,1
0:00:00.310152,1,-11,1
0:00:00.325243,-1,-14,1
0:00:00.325334,1,-10,2
0:00:00.325487,1,-12,1
0:00:00.330717,-1,-10,0
0:00:00.340395,1,-9,1
0:00:00.349932,-1,-9,1
0:00:00.353476,0,-11,1
0:00:00.359470,0,-10,0
0:00:00.368198,-1,-11,2
0:00:00.374166,-1,-11,1
0:00:00.380324,1,-11,1
0:00:00.390024,0,-12,2
0:00:00.394900,-1,-13,1
0:00:00.404305,-1,-9,0
0:00:00.408214,1,-12,0
0:00:00.416858,-1,-11,2
0:00:00.431236,0,-14,2
0:00:00.432017,-1,-11,0
0:00:00.437644,-1,-11,0
0:00:00.445261,-2,-11,1
0:00:00.452546,-1,-11,2
0:00:00.457204,-1,-11,2
0:00:00.478493,1,-11,0
0:00:00.479496,0,-10,0
0:00:00.481777,1,-11,1
0:00:00.487277,0,-11,1
0:00:00.497374,1,-11,1
0:00:00.502381,-1,-11,1
0:00:00.509204,1,-10,1
0:00:00.517729,1,-8,1
0:00:00.520215,-1,-11,0
0:00:00.529943,-2,-13,1
0:00:00.536150,-2,-12,4
0:00:00.546660,0,-11,2
0:00:00.555526,2,-10,0
0:00:00.556447,0,-10,1
0:00:00.565757,2,-12,1
0:00:00.575570,1,-12,1
0:00:00.585738,-1,-9,1
0:00:00.607148,0,-10,1
0:00:00.607396,1,-13,0
0:00:00.608028,1,-11,1
0:00:00.631956,-2,-11,2
0:00:00.638029,0,-12,2
0:00:00.638123,-1,-11,0
0:00:00.638205,1,-10,1
0:00:00.643722,0,-10,1
0:00:00.643826,-1,-11,2
0:00:00.654627,-1,-13,1
0:00:00.655279,-1,-11,1
0:00:00.664373,-1,-10,2
0:00:00.674412,-2,-13,2
0:00:00.675760,0,-10,4
0:00:00.687874,0,-10,0
0:00:00.705572,-2,-11,3
0:00:00.707717,1,-10,0
0:00:00.707808,-2,-11,1
0:00:00.713919,1,-15,2
0:00:00.726461,0,-12,1
0:00:00.726566,-1,-10,0
0:00:00.742066,-1,-12,0
0:00:00.745129,0,-11,0
0:00:00.749682,1,-12,0
0:00:00.758662,0,-11,2
0:00:00.759443,1,-11,2
0:00:00.791912,-1,-11,2
0:00:00.791982,2,-11,2
0:00:00.792030,-1,-11,0
0:00:00.792076,1,-13,2
0:00:00.797354,2,-11,0
0:00:00.807127,-1,-12,2
0:00:00.811552,2,-12,0
0:00:00.820208,-1,-12,3
0:00:00.820722,3,-10,1
0:00:00.828099,-3,-11,0
0:00:00.834875,1,-11,2
0:00:00.843352,-1,-12,0
0:00:00.848735,0,-11,0
0:00:00.864149,-2,-10,2
0:00:00.864218,-1,-12,2
0:00:00.871370,1,-11,1
0:00:00.878322,0,-12,1
0:00:00.883885,1,-11,0
0:00:00.898967,0,-11,1
0:00:00.899034,1,-11,0
0:00:00.911401,-1,-12,1
0:00:00.912757,-1,-12,0
0:00:00.925317,0,-13,0
0:00:00.928277,-2,-10,0
0:00:00.933214,0,-11,0
0:00:00.941334,1,-12,3
0:00:00.948116,1,-13,2
0:00:00.955249,0,-11,1
0:00:00.962141,-1,-11,1
0:00:00.971913,1,-9,0
0:00:00.982428,0,-8,0
0:00:00.982497,1,-11,0
0:00:00.988644,1,-11,0
0:00:00.997912,-2,-12,0
0:00:01.003048,-2,-10,2
0:00:01.011643,2,-10,0
0:00:01.018275,1,-9,1
0:00:01.028883,-1,-11,1
0:00:01.033984,0,-11,1
0:00:01.039999,2,-10,1
0:00:01.046593,0,-11,1
0:00:01.056259,1,-12,1
