timestamp,IMU_vel_x,IMU_vel_y,IMU_vel_z
0:00:00.000439,0,-10,1
0:00:00.000605,0,-10,0
0:00:00.001160,0,-12,0
0:00:00.005287,2,-12,0
0:00:00.005372,1,-13,0
0:00:00.006996,2,-12,0
0:00:00.014991,3,-13,3
0:00:00.023979,2,-12,0
0:00:00.033695,1,-13,3
0:00:00.039311,2,-10,0
0:00:00.044440,1,-11,3
0:00:00.045224,-1,-15,1
0:00:00.048796,0,-10,1
0:00:00.056582,0,-11,2
0:00:00.063851,1,-12,2
0:00:00.071093,0,-10,0
0:00:00.076572,1,-11,0
0:00:00.086638,3,-13,0
0:00:00.096775,-1,-11,0
0:00:00.098803,0,-13,0
0:00:00.106478,2,-11,1
0:00:00.111726,1,-11,0
0:00:00.118551,0,-13,1
0:00:00.135348,4,-12,1
0:00:00.146793,1,-12,2
0:00:00.151843,1,-13,0
0:00:00.158435,1,-10,1
0:00:00.158530,3,-12,1
0:00:00.166394,1,-13,0
0:00:00.173888,2,-12,0
0:00:00.184899,0,-13,0
0:00:00.205363,-1,-10,0
0:00:00.206368,1,-13,0
0:00:00.210098,3,-13,0
0:00:00.210209,0,-13,0
0:00:00.234770,2,-11,0
0:00:00.240700,1,-12,2
0:00:00.240777,0,-10,0
0:00:00.240826,1,-11,4
0:00:00.247035,0,-12,2
0:00:00.250642,3,-12,0
0:00:00.251518,1,-11,0
0:00:00.264779,0,-13,0
0:00:00.287423,-1,-12,0
0:00:00.288036,2,-11,0
0:00:00.293855,1,-11,1
0:00:00.294228,0,-11,0
0:00:00.299303,1,-12,2
0:00:00.303497,1,-12,1
0:00:00.323120,2,-11,0
0:00:00.324973,1,-12,0
0:00:00.325031,2,-12,0
0:00:00.331239,1,-11,0
0:00:00.339662,2,-13,0
0:00:00.345005,3,-13,0
0:00:00.355629,1,-13,0
0:00:00.359319,2,-12,0
0:00:00.363835,1,-12,0
0:00:00.370702,1,-11,0
0:00:00.386451,0,-12,0
0:00:00.392937,1,-11,0
0:00:00.394988,2,-13,2
0:00:00.399220,2,-10,1
0:00:00.405979,-1,-11,2
0:00:00.415623,1,-11,0
0:00:00.419754,2,-10,0
0:00:00.426507,1,-11,1
0:00:00.439571,1,-12,0
0:00:00.441907,2,-11,0
0:00:00.447614,0,-11,2
0:00:00.464807,3,-12,1
0:00:00.464877,0,-10,0
0:00:00.476282,2,-11,0
0:00:00.479554,1,-12,0
0:00:00.482401,0,-10,1
0:00:00.495669,1,-11,1
0:00:00.511446,1,-12,3
0:00:00.512305,3,-11,0
0:00:00.512416,2,-11,1
0:00:00.517826,2,-13,1
0:00:00.524418,1,-10,0
0:00:00.534007,1,-13,0
0:00:00.543839,1,-11,1
0:00:00.545549,-1,-11,0
0:00:00.553836,1,-10,0
0:00:00.575934,2,-8,0
0:00:00.576026,0,-11,1
0:00:00.579301,1,-10,0
