vel_x,vel_y,vel_z
2,-9,0
1,-8,2
0,-10,1
-1,-8,2
2,-9,0
0,-9,3
2,-9,0
1,-9,0
0,-10,0
3,-10,0
-2,-10,0
1,-9,1
0,-9,0
1,-9,2
3,-12,0
2,-10,0
1,-8,1
0,-9,1
0,-10,0
2,-10,1
1,-9,3
3,-8,2
0,-9,2
2,-9,2
1,-9,0
2,-9,3
2,-6,3
-1,-10,0
3,-8,2
0,-9,1
-1,-8,1
2,-10,1
0,-10,1
2,-10,0
0,-11,2
0,-11,0
1,-7,2
2,-9,1
0,-10,0
1,-9,1
-1,-10,1
2,-10,1
